image,grasp,side
stimuli/key_L.png,key,L
stimuli/power_R.png,power,R
stimuli/pinch_R.png,pinch,R
stimuli/wrist_flex_L.png,wrist_flex,L
stimuli/rpower_L.png,rpower,L
stimuli/key_R.png,key,R
stimuli/wrist_ext_R.png,wrist_ext,R
stimuli/iflex_L.png,iflex,L
stimuli/wrist_flex_R.png,wrist_flex,R
stimuli/wrist_ext_L.png,wrist_ext,L
