image,grasp,side
stimuli/pinch_R.png,pinch,R
stimuli/point_R.png,point,R
stimuli/wrist_flex_L.png,wrist_flex,L
stimuli/wrist_flex_R.png,wrist_flex,R
stimuli/point_L.png,point,L
stimuli/power_R.png,power,R
stimuli/power_L.png,power,L
stimuli/wrist_ext_L.png,wrist_ext,L
stimuli/wrist_ext_R.png,wrist_ext,R
stimuli/pinch_L.png,pinch,L
