image,grasp,side
stimuli/power_R.png,power,R
stimuli/point_L.png,point,L
stimuli/wrist_flex_R.png,wrist_flex,R
stimuli/pinch_L.png,pinch,L
stimuli/point_R.png,point,R
stimuli/wrist_flex_L.png,wrist_flex,L
